book,author,year,publisher
"The Mozart Season","Virginia Euwer Wolff","2000","Scholastic"
"A Maggot","John Fowles","1985","Little Brown &amp; Co"
"Brighten the Corner Where You Are","Fred Chappell","1990","St. Martin\'s Press"
"Human Options","Norman Cousins","1989","Berkley Publishing Group"
"Atlantis Found","Clive Cussler","2000","Chivers"
"Do You Promise Not to Tell?","Mary Jane Clark","2000","St. Martin\'s Paperbacks"
"Iron Chef: The Official Book","Kaoru Hoketsu","2001","Berkley Publishing Group"
"Dangerous to Know","Barbara Taylor Bradford","1995","Harpercollins"
"Free","Paul Vincent","2003","Upfront Publishing"
"The Vendetta Defense","Lisa Scottoline","2001","HarperCollins Publishers"
"Old Flames","John Lawton","2003","Penguin USA (Paper)"
"Where Angels Fear to Tread","E. M. Forster","1996","Bantam"
"The Border Hostage","Virginia Henley","2001","Delacorte Press"
"The Little White Horse","Elizabeth Goudge","2001","Puffin Books"
"Realty Check","Piers Anthony","2001","Write Way Publishing"
"April 1865: The Month That Saved America","Jay Winik","2001","HarperCollins"
"French Lessons: A Memoir","Alice Kaplan","1993","University of Chicago Press"
"Turbo-taal: Van socio-babble tot yuppie-speak","Jan Kuitenbrouwer","1987","Aramith"
"Barn Blind","Jane Smiley","1993","Ballantine Books"
"Snow Falling on Cedars","David G. Uterson","1995","Bloomsbury Publishing Plc"
"Forever in Your Embrace","Kathleen E. Woodiwiss","1992","Avon"
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","Erik Larson","2004","Vintage"
"Hunting Evil","Carlton Smith","2000","St. Martin\'s True Crime Classics"
"Notes to Myself","Hugh Prather","1983","Bantam Books"
"N or M?","Agatha Christie","1981","Bantam Books (Mm)"
"Dog Eat Dog","Jerry Jay Carroll","1999","Ace Books"
"One Last Time: A Psychic Medium Speaks to Those We Have Loved and Lost","John J. Edward","1998","Berkley Publishing Group"
"The Summons","John Grisham","2002","Random House Large Print Publishing"
"The Greenlanders","Jane Smiley","1996","Ballantine Books"
"Kissing the Virgin\'s Mouth","Donna M. Gershten","2002","Perennial"
"The Vendetta Defense","Lisa Scottoline","2002","HarperTorch"
"Life Lessons: Two Experts on Death and Dying Teach Us About the Mysteries of Life and Living","Elisabeth Kubler-Ross","2001","Scribner"
"Promise Me Heaven","Katharine Kincaid","1993","Zebra Books"
"El Diamante de Jerusalen","Noah Gordon","1999","Ediciones B"
"A Woman of Independent Means","Elizabeth Forsythe Hailey","1990","Dell"
"Going to Ground: Simple Life on a Georgia Pond","Amy Blackmarr","1998","Penguin Books"
"Life Stinks: A Wry Look at Hopelessbess, Despair and Disaster","Ted Mico","1995","Andrews McMeel Publishing"
"The Sugar House: A Tess Monaghan Mystery","Laura Lippman","2000","William Morrow &amp; Company"
"Acquired Tastes","Peter Mayle","1992","Bantam Books"
"Gentle Ben","Walt Morey","1992","Puffin"
"Saving Agnes","Rachel Cusk","2001","Picador USA"
"The Colmena, La","Camilo Jose Cela","1999","Aguilar Aguilar"
"The Red Fox","Anthony Hyde","1988","Ballantine Books"
"No Logo: No Space, No Choice, No Jobs","Naomi Klein","2002","Picador"
"Wild Animus","Rich Shapero","2004","Too Far"
"Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","2000","Microsoft Press"
"The Little Friend","Donna Tartt","2002","Alfred A. Knopf"
"Like Normal People","Robert Meyers","1980","New Amer Library (Mm)"
"Deadly Medicine","Kelly Moore","1988","St Martins Pr"
"Mastering Regular Expressions","Jeffrey E. F. Friedl","1997","O\'Reilly"
"Simon the Pointer: A Story","Joan Winer Brown","1996","Penguin USA"
"The House on Orchid Street","T. M. Wright","2003","Leisure Books"
"The Perks of Being a Wallflower","Stephen Chbosky","2001","Books on Tape"
"Stalking the Angel","Robert Crais","1992","Crimeline"
"The Purpose-Driven Life: What on Earth Am I Here For?","Rick Warren","2002","Zondervan Publishing Company"
"Easy Prey","John Sandford","2000","Putnam Berkley Audio"
"Meineid: Roman","Petra Hammesfahr","2001","Rowohlt Taschenbuch Verlag GmbH"
"When the Legends Die","Hal Borland","1984","Bantam"
"Oranges Are Not the Only Fruit","Jeanette Winterson","1985","Harpercollins"
"Bridal Favors","Connie Brockway","2002","Dell Publishing Company"
"Simeon\'s Bride","Alison G. Taylor","1996","Bantam Books"
"The Summer of Katya","Trevanian","1985","Random House Value Pub"
"For All the Wrong Reasons","Louise Bagshawe","2002","St. Martin\'s Press"
"Mixed Blessings","Danielle Steel","1992","Delacorte Press"
"Idiot Letters: One Man\'s Relentless Assault on Corporate America","Paul Rosa","1995","Main Street Books"
"Oliver\'s Story","Erich Segal","1988","Bantam Books"
"Dearly Beloved","Mary Jo Putney","1997","Topaz"
"Touching My Father\'s Soul: A Sherpa\'s Journey to the Top of Everest","The Dalai Lama","2001","Harper San Francisco"
"Felidae. Roman.","Akif Pirincci","1989","Goldmann"
"Heart of Darkness and the Secret Sharer","Joseph Conrad","1988","Penguin Putnam~mass"
"The Blue Bedspread","Raj Kamal Jha","2000","Random House Trade"
"I Refuse to Raise a Brat: Straightforward Advice on Parenting in an Age of Overindulgence","Marilu Henner","1999","ReganBooks"
"Saving Agnes","Rachel Cusk","2000","Picador USA"
"Ooh, La La!","Robin Wells","2002","Love Spell"
"Witch Spell","Guy N. Smith","2001","Pinnacle Books"
"Primitive Secrets","Deborah Turrell Atkinson","2002","Poisoned Pen Press"
"Poseidon\'s Gold: A Marcus Didius Falco Mystery","Lindsey Davis","1995","Fawcett Books"
"After Midnight","Diana Palmer","2003","Mira Books"
"Beyond Recognition","Ridley Pearson","1997","Hyperion Books"
"Texas Heat","Fern Michaels","1994","Ivy Books"
"J Is for Judgment","Sue Grafton","1999","Fawcett Books"
"Notes to Myself","Hugh Prather","1970","Real People Press"
"Es wird mir fehlen, das Leben.","Ruth Picardie","2000","Rowohlt Tb."
"Word for Word","Andrew Rooney","1988","G. P. Putnam\'s Sons"
"The Age of Innocence","Edith Wharton","1998","Tor Books"
"A Connecticut Yankee in King Arthur\'s Court","Mark Twain","1999","Sagebrush Bound"
"The Green Mile","Stephen King","2000","LÃ?Â¼bbe"
"Ragged Rainbows","Jim Miller","1998","Mira"
"The Kid\'s Book of Questions","Gregory Stock","1988","Workman Publishing"
"Beard on Bread","James Beard","1995","Alfred A. Knopf"
"10 Lb. Penalty","Dick Francis","1998","Jove Books"
"Cunningham\'s Encyclopedia of Wicca in the Kitchen","Scott Cunningham","2003","Llewellyn Publications"
"Dinosaurs: A Celebration","Dan Abnett","1992","Client Distribution Services"
"The Third Millenium","Paul D. Meier","1993","WestBow Press"
"Mrs. Dalloway","Virginia Woolf","2002","Harcourt"
"Linda Goodman\'s Star Signs","Linda Goodman","2000","St. Martin\'s Griffin"
"Where Is God When It Hurts?","Philip Yancey","1997","Zondervan Publishing Company"
"One Hit Wonderland","Tony Hawks","2002","Ebury Press"
"Hinds\' Feet on High Places","Hurnard","1986","Tyndale House Publishers"
"Ratking","Michael Dibdin","1991","Bantam Books"
"Westing Game","Ellen Raskin","1989","Avon Books"
"Easter Blessings","Lenora Worth","2003","Steeple Hill"
"Playmates","Robert B. Parker","1989","Putnam Pub Group"
"Sun Also Rises","Ernest Hemingway","1984","Scribner Book Company"
"Even the Stars Look Lonesome","Maya Angelou","1997","Random House Audio"
"Pressure Points","Larry Brooks","2001","Onyx Books"
"O Pioneers!","Willa Cather","1992","Tor Books (Mm)"
"Midsummer Magic","Catherine Coulter","1987","Onyx Books"
"Absolute Rage","Robert K. Tanenbaum","2002","Atria"
"Life on the Color Line: The True Story of a White Boy Who Discovered He Was Black","Gregory Howard Williams","1995","Penguin USA"
"Gods, Demigods, and Demons: An Encyclopedia of Greek Mythology","Bernard Evslin","1988","Scholastic Paperbacks (Mm)"
"Three Wishes","Michael J. Lynch","2000","Xlibris Corporation"
"Die Mutter.","Petra Hammesfahr","2001","Rowohlt Tb."
"The Adventures of Huckleberry Finn","Mark Twain","1996","Tor Books"
"Handbuch des Kriegers des Lichts.","Paulo Coelho","2001","Diogenes Verlag"
"Space Patrol","Julius Goodman","1983","Bantam Books"
"Buddha\'s Little Instruction Book","Jack Kornfield","1994","Bantam"
"Ordeal by Innocence","Agatha Christie","1991","Harper Mass Market Paperbacks"
"Keys to Drawing","Bert Dodson","1990","North Light Books"
"Glittering Images","Susan Howatch","1996","Fawcett Books"
"The Big Rumpus: A Mother\'s Tale from the Trenches","Ayun Halliday","2002","Seal Press (WA)"
"Shooting Elvis","Robert M. Eversz","0","Pan Books Ltd"
"Confidence Woman","Judith Van Gieson","2002","Signet Book"
"Beyond Uhura: Star Trek and Other Memories","Nichelle Nichols","1994","Putnam Pub Group"
"A Short History of Nearly Everything","Bill Bryson","2003","Broadway Books"
"With a Vengeance","Eileen Dreyer","2004","St. Martin\'s Paperbacks"
"Dance To The Piper","Nora Roberts","1994","Mira"
"Silent Spring","Rachael L. Carson","1981","Fawcett Books"
"Gods and Generals","Jeff Shaara","1997","Ballantine Books"
"The Wiccan Book of Ceremonies and Rituals","Patricia Telesco","1998","Citadel Press"
"Human Croquet","Kate Atkinson","1998","Harpercollins U"
"Die for Love","Elizabeth Peters","1987","Forge"
"The Ultimate Weight Solution Food Guide","Phil McGraw","2003","Pocket"
"The Story of the Trapp Family Singers","Maria Augusta Trapp","1957","Doubleday Books"
"Wyrms","Orson Scott Card","2003","Orb Books"
"Blessed Are the Cheesemakers","Sarah-Kate Lynch","2003","Highbridge Audio"
"Ill Wind","Nevada Barr","1995","Putnam Pub Group"
"Biblioholism: The Literary Addiction","Tom Raabe","2001","Fulcrum Publishing"
"Politically Correct Bedtime Stories","James Pinn Garner","1994","Brilliance Audio - Trade"
"The Grrl Genius Guide to Life: A 12 Step Program on How to Become a Grrl Genius, According to Me!","Cathryn Michon","2001","HarperCollins Publishers"
"Simon\'s Family","Marianne Fredriksson","1999","Ballantine Books"
"Cary Grant: The Lonely Heart","Charles Higham","1990","Harper Mass Market Paperbacks (Mm)"
"Dr. Atkins\' New Diet Cookbook","Fran Gare","2000","M Evans &amp; Co"
"Songbook","Nick Hornby","2002","McSweeneys Books"
"Nature\'s End: The Consequences of the Twentieth Century","Whitley Strieber","1986","Warner Books"
"Died to Match","Deborah Donnelly","2002","Dell Publishing Company"
"A History of Pi","Petr Beckmann","1976","St. Martin\'s Griffin"
"Lover Beware","Christine Feehan","2003","Berkley Publishing Group"
"Bella Tuscany: The Sweet Life in Italy","Frances Mayes","1999","Broadway Books"
"Dead Heat","Caroline Carver","2004","Mysterious Press"
"The Prince and the Pauper","Mark Twain","1990","Yearling Books"
"Wired: The Short Life and Fast Times of John Belushi","Bob Woodward","1985","Smithmark Pub"
"Call Waiting","R. L. Stine","1995","Scholastic"
"Middle of Nowhere","Ridley Pearson","2001","Hyperion"
"Night Lives On","Walter J. Lord","1998","Avon"
"Das grobmaschige Netz.","Hakan Nesser","1999","btb"
"The Gospel According to the Son","Norman Mailer","1999","Ballantine Books"
"Red Phoenix","Larry Bond","1990","Warner Books"
"The Swiss Account","Leslie Waller","1976","Bantam Dell Pub Group"
"Julie of the Wolves","Jean Craighead George","2004","HarperTrophy"
"The Naked Detective","Laurence Shames","2001","Fawcett Books"
"One Day, All Children...: The Unlikely Triumph of Teach For America and What I Learned Along the Way","Wendy Kopp","2001","PublicAffairs"
"Covenant With the Vampire: The Diaries of the Family Dracul","Jeanne Kalogridis","1994","Bantam Dell Pub Group"
"Spell for Chameleon Xanth","Piers Anthony","1981","Ballantine Books"
"The World of Myth","David Adams Leeming","1992","Oxford University Press"
"Wild Rain","Christine Feehan","2004","Jove Books"
"Just Friends","Robyn Sisman","2001","Ballantine Books"
"Dragonworld","Bryon Preiss","2000","I Books"
"Obsidian Butterfly","Laurell K. Hamilton","2000","Ace Books"
"Riding the Iron Rooster: By Train Through China","Paul Theroux","1988","Putnam Pub Group"
"Lost Girls","Andrew Pyper","2000","Delacorte Press"
"Utz","Bruce Chatwin","1989","Daedalus Books"
"Bridget Jones\'s Diary","Helen Fielding","2001","Picador"
"Daughter of Darkness","Steven Spruill","1997","Bantam Dell Pub Group"
"A Ghost in the House","Betty Ren Wright","1995","Scholastic"
"The Unconsoled","Kazuo Ishiguro","1995","Random House Inc"
"Warrior Class","Dale Brown","2001","G. P. Putnam\'s Sons"
"Cruel Sacrifice","Aphrodite Jones","1997","Pinnacle Books"
"Complete Fairy Tales of Oscar Wilde","Oscar Wilde","1996","Signet Classics"
"Fletch Won","Gregory McDonald","1989","Warner Books"
"Shrub: The Short but Happy Political Life of George W. Bush","Molly Ivins","2000","Random House Trade"
"Los Pilares de la Tierra","Ken Follett","1999","Plaza &amp; Janes Editores, S.A."
"The Ghost Writer","John Harwood","2004","Harcourt"
"The BOOK OF VIRTUES","William J. Bennett","1996","Simon &amp; Schuster"
"Savage Fires","Cassie Edwards","1999","Leisure Books"
"Encyclopedia of Celtic Wisdom the Celtic Shamans","Caitlin Matthews","0","Element Books Inc"
"The Wicked Flea: A Dog Lover\'s Mystery","Susan Conant","2002","Berkley Publishing Group"
"Holographic Universe","Michael Talbot","1992","Perennial"
"Crashing Down","Meg O\'Brien","1999","Mira"
"Blood Music","Greg Bear","1991","Ace Books"
"The Terrorists of Irustan","Louise Marley","2000","Ace Books"
"Dave Barry Is from Mars and Venus","Dave Barry","1997","Random House Inc"
"Guilty Pleasures","Stella Cameron","1997","Zebra Books"
"Nisa: The Life and Words of a !Kung Woman","Majorie Shostak","1982","Vintage Books USA"
"Bird\'s-Eye View","J. F. Freedman","2002","Warner Vision"
"Nothing Lasts Forever","Sidney Sheldon","1995","Warner Books"
"Crazy in Alabama","Mark Childress","1994","Ballantine Books"
"Chosen Prey","John Sandford","2001","G. P. Putnam\'s Sons"
"Fire\'s Stone","Tanya Huff","1990","Daw Books"
"Der Himmel unter der Stadt.","Colum McCann","2000","Rowohlt Tb."
"How Like a God","Brenda W. Clough","1998","Tor Books (Mm)"
"The Secret Adversary","Agatha Christie","1983","Bantam Books"
"The Gates of the Alamo","Stephen Harrigan","2000","Alfred A. Knopf"
"Big Stone Gap","Adriana Trigiani","2003","Fawcett Books"
"Powers: Who Killed Retro Girl?","Brian Michael Bendis","2001","Image Comics"
"Master of the Game","Sidney Sheldon","1983","Not Avail"
"Today I Feel Silly: And Other Moods That Make My Day","Jamie Lee Curtis","1998","Joanna Cotler"
"Horse Heaven","Jane Smiley","2000","Random House Audio"
"The Taming of the Shrew","William Shakespeare","1999","Wordsworth Editions Ltd"
"Another Summer","Georgia Bockoven","2001","HarperTorch"
"Chicken Soup for the Teacher\'s Soul: Stories to Open the Hearts and Rekindle the Spirit of Educators","Jack Canfield","2002","Health Communications"
"A Day Late and a Dollar Short","Terry McMillan","2002","Signet Book"
"To Reign in Hell","Steven Brust","2000","Orb Books"
"The Last Rainbow","Parke Godwin","1995","Harper Mass Market Paperbacks (Mm)"
"Windmills of the Gods","Sidney Sheldon","1987","Warner Books"
"Breath of Magic","Teresa Medeiros","1996","Bantam Books"
"Friedhof der Kuscheltiere. Roman.","Stephen King","2003","Ullstein Tb"
"The Chatham School Affair","Thomas H. Cook","2000","Orion mass market paperback"
"Lillian Too\'s Little Book of Feng Shui","Lillian Too","1999","Element Books Ltd."
"Second Form at Malory Towers","Enid Blyton","2000","Egmont Childrens Books"
"The Stephen King Companion","George Beahm","1995","Andrews McMeel Pub"
"Baltasar and Blimunda","Jose Saramago","1988","Ballantine Books"
"The Marriage Bed","Stephanie Mittman","1996","Dell"
"Confessions of an Ex-Girlfriend","Lynda Curnyn","2002","Red Dress Ink"
"The Photoshop Book for Digital Photographers","Scott Kelby","2003","New Riders"
"365 Ways to Cook Pasta","Marie Simmons","1995","HarperCollins Publishers"
"The Passion Dream Book","Whitney Otto","1997","Harper Audio"
"Tuesdays with Morrie: An Old Man, a Young Man, and Life\'s Greatest Lesson","Mitch Albom","2002","Broadway"
"Shadows and Light","Anne Bishop","2002","Roc"
"Point Deception","Marcia Muller","2002","Warner Books"
"The Edge of Town","Dorothy Garlock","2002","Warner Books"
"Pants on Fire","Maggie Alderson","2001","Penguin Books Ltd"
"Final Target","Iris Johansen","2001","Bantam Books"
"Transfer of Power","Vince Flynn","2003","Encore"
"Summer of My German Soldier","Bette Greene","1974","Bantam Books"
"Springwater Wedding","Linda Lael Miller","2002","Pocket"
"Child of War, Woman of Peace","Le Ly Hayslip","1994","Anchor"
"Granite Man","Elizabeth Lowell","2001","Mira"
"The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss","Arthur Agatston","2003","Rodale Books"
"The Tiger\'s Child","Torey Hayden","1996","Avon"
"Revelation Space","Alastair Reynolds","2002","Ace Books"
"Waiting: The True Confessions of a Waitress","Debra Ginsberg","2001","Perennial"
"Up at the Villa","W. Somerset Maugham","2000","Vintage Books USA"
"Along the Shore","L. M. Montgomery","1990","Starfire"
"Islandia: The Epic Underground Classic","Austin Tappan Wright","2002","Overlook Press"
